
2024/03/13 (05:41:31) | DEBUG: Writing new config file
2024/03/13 (05:41:31) | INFO: Quitting! Runtime: 00:18:52

2024/03/13 (05:56:38) | ===> btop++ v.1.3.2
2024/03/13 (05:56:38) | INFO: Logger set to DEBUG
2024/03/13 (05:56:38) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (05:56:38) | INFO: Running on /dev/pts/1
2024/03/13 (05:56:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (05:56:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (05:56:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (05:56:38) | DEBUG: Shared::init() : Initialized.
2024/03/13 (05:56:38) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (07:06:36) | INFO: Quitting! Runtime: 01:09:58

2024/03/13 (07:32:12) | ===> btop++ v.1.3.2
2024/03/13 (07:32:12) | INFO: Logger set to DEBUG
2024/03/13 (07:32:12) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (07:32:12) | INFO: Running on /dev/pts/1
2024/03/13 (07:32:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (07:32:12) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (07:32:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (07:32:12) | DEBUG: Shared::init() : Initialized.
2024/03/13 (07:32:12) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (07:33:03) | DEBUG: Writing new config file
2024/03/13 (07:33:03) | INFO: Quitting! Runtime: 00:00:51

2024/03/13 (11:35:34) | ===> btop++ v.1.3.2
2024/03/13 (11:35:34) | INFO: Logger set to DEBUG
2024/03/13 (11:35:34) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (11:35:34) | INFO: Running on /dev/pts/0
2024/03/13 (11:35:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (11:35:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (11:35:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (11:35:34) | DEBUG: Shared::init() : Initialized.
2024/03/13 (11:35:34) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (11:36:35) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2024/03/13 (11:36:36) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2024/03/13 (11:36:37) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2024/03/13 (11:36:39) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2024/03/13 (11:36:40) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2024/03/13 (11:36:40) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2024/03/13 (11:36:41) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2024/03/13 (11:36:42) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2024/03/13 (11:36:43) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2024/03/13 (11:36:45) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2024/03/13 (11:36:47) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2024/03/13 (11:36:48) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2024/03/13 (11:36:48) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2024/03/13 (11:36:49) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2024/03/13 (11:36:49) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2024/03/13 (11:36:50) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2024/03/13 (11:36:50) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2024/03/13 (11:36:51) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2024/03/13 (11:36:51) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2024/03/13 (11:36:52) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2024/03/13 (11:36:52) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/03/13 (11:36:53) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/03/13 (11:36:53) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/03/13 (11:36:53) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2024/03/13 (11:36:54) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/03/13 (11:36:54) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
